date,sku,SK,promo_flag,p10,p50,p90
2025-11-30,743097,СК Столица,0,71.94600595287154,170.23284676109355,426.89413087685926
2025-12-31,743097,СК Столица,0,50.5484840950242,214.04873721125915,603.5447256910237
2026-01-31,743097,СК Столица,0,0.0,50.359606496467514,542.9158924594313
2026-02-28,743097,СК Столица,0,377.27004811625847,508.68399396405744,1954.659166572859
2026-03-31,743097,СК Столица,0,344.349513598735,492.1696668012694,1359.466517696121
2026-04-30,743097,СК Столица,0,219.8023630740136,363.7472726252776,1122.7381055964315
2026-05-31,743097,СК Столица,0,546.6784862666369,701.7968499002558,1220.703497976735
2026-06-30,743097,СК Столица,0,215.6200384082747,393.2494258827593,1232.087996720299
2026-07-31,743097,СК Столица,0,267.055756074252,428.0850680713513,934.714477239948
2025-08-31,743107,СК Столица,0,772.6960728409405,898.0074621021328,1434.3841611171963
2025-09-30,743107,СК Столица,0,574.0446748798842,709.7928369296437,1484.772523014885
2025-10-31,743107,СК Столица,0,384.80421512164895,537.8472678401472,1343.3954302058055
2025-11-30,743107,СК Столица,0,20.48955285262296,104.7422520004755,596.637630767065
2025-12-31,743107,СК Столица,0,171.2556318695061,355.858510702645,885.7532197636983
2026-01-31,743107,СК Столица,0,0.0,17.213309573855337,604.5204976572102
2026-02-28,743107,СК Столица,0,470.70044438483075,528.7800987968012,1524.5661464705952
2026-03-31,743107,СК Столица,0,79.75259744834719,274.02743304563035,865.0388956255017
2026-04-30,743107,СК Столица,0,29.94176425941259,155.36816398256448,708.3470535893645
2026-05-31,743107,СК Столица,0,308.6824567752078,480.8729366744129,833.8742271088028
2026-06-30,743107,СК Столица,0,0.0,142.65144530109671,783.286571157253
2026-07-31,743107,СК Столица,0,161.1220252701593,275.41118999560456,594.2008801140934
2025-08-31,743117,СК Столица,0,0.0,82.35403093438926,388.746049415685
2025-09-30,743117,СК Столица,0,14.039066343817783,174.5333584604056,450.0303782036249
2025-10-31,743117,СК Столица,0,0.0,62.49454337864345,296.4703074818131
2025-11-30,743117,СК Столица,0,0.0,0.0,193.006318217085
2025-12-31,743117,СК Столица,0,38.45919402666003,67.01192684591128,402.8663636239109
2026-01-31,743117,СК Столица,0,0.0,0.0,348.92482450359574
2026-02-28,743117,СК Столица,0,36.31012670586724,49.5304734593804,753.3304065726343
2026-03-31,743117,СК Столица,0,87.93348658455741,111.2471716427428,525.3840039312821
2026-04-30,743117,СК Столица,0,0.0,29.17367482880747,511.4172015269857
2026-05-31,743117,СК Столица,0,91.52788808955872,133.50878500871286,385.966416665663
2026-06-30,743117,СК Столица,0,175.7127016991352,270.96459557545484,668.2003723961584
2026-07-31,743117,СК Столица,0,82.98245919141196,187.84971261313203,439.3403853741891
2025-08-31,743127,СК Столица,0,0.0,50.07042069641735,510.6281289307773
2025-09-30,743127,СК Столица,0,0.0,81.85879422969289,280.81475535594194
2025-10-31,743127,СК Столица,0,0.0,121.68024276247202,331.92635512449243
2025-11-30,743127,СК Столица,0,0.0,113.92002363356418,226.64550025993543
2025-12-31,743127,СК Столица,0,0.0,0.0,249.19804004324817
2026-01-31,743127,СК Столица,0,0.0,0.0,259.85576746656164
2026-02-28,743127,СК Столица,0,22.819245581828515,29.184886348069817,497.1092657107211
2026-03-31,743127,СК Столица,0,0.0,33.987340694044136,342.7144672800236
2026-04-30,743127,СК Столица,0,0.0,0.0,411.0902488141043
2026-05-31,743127,СК Столица,0,0.0,0.0,77.73136388667325
2026-06-30,743127,СК Столица,0,297.75645729029424,332.6831325548554,740.5520264797863
